Age,Attrition,Department,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,YearsAtCompany,AgeGroup,SalaryLevel,YearsGroup,,,,,,,,
42.00,No,Research & Development,3.00,Single,4332.00,No,20.00,40-49,Medium,6+,,,,,,,,
31.00,No,Research & Development,3.00,Married,11031.00,No,11.00,30-39,High,6+,,,,,,,,
54.00,No,Research & Development,1.00,Single,4440.00,Yes,5.00,50+,Medium,3-5,,,,,,,,
24.00,No,Research & Development,3.00,Single,4617.00,No,4.00,20-29,Medium,3-5,,,,,,,,
23.00,No,Research & Development,4.00,Single,2647.00,No,5.00,20-29,Low,3-5,,,,,,,,
40.00,No,Research & Development,3.00,Married,6323.00,No,10.00,40-49,Medium,6+,,,,,,,,
40.00,No,Sales,2.00,Married,5677.00,No,11.00,40-49,Medium,6+,,,,,,,,
25.00,No,Human Resources,2.00,Married,2187.00,No,2.00,20-29,Low,0-2,,,,,,,,
30.00,No,Research & Development,2.00,Married,3748.00,No,12.00,30-39,Medium,6+,,,,,,,,
25.00,No,Research & Development,3.00,Divorced,3977.00,Yes,2.00,20-29,Medium,0-2,,,,,,,,
47.00,No,Research & Development,3.00,Single,8633.00,No,17.00,40-49,High,6+,,,,,,,,
33.00,No,Research & Development,3.00,Divorced,2008.00,No,1.00,30-39,Low,0-2,,,,,,,,
38.00,No,Sales,2.00,Married,4440.00,No,15.00,30-39,Medium,6+,,,,,,,,
31.00,No,Sales,3.00,Married,3067.00,No,2.00,30-39,Medium,0-2,,,,,,,,
38.00,No,Research & Development,3.00,Married,5321.00,No,8.00,30-39,Medium,6+,,,,,,,,
42.00,No,Research & Development,1.00,Divorced,5410.00,Yes,4.00,40-49,Medium,3-5,,,,,,,,
41.00,No,Research & Development,4.00,Married,2782.00,No,5.00,40-49,Low,3-5,,,,,,,,
47.00,No,Research & Development,2.00,Married,11957.00,No,13.00,40-49,High,6+,,,,,,,,
35.00,No,Research & Development,3.00,Married,2660.00,Yes,2.00,30-39,Low,0-2,,,,,,,,
22.00,No,Research & Development,3.00,Single,3375.00,No,3.00,20-29,Medium,3-5,,,,,,,,
35.00,No,Research & Development,3.00,Single,5098.00,No,10.00,30-39,Medium,6+,,,,,,,,
33.00,No,Research & Development,4.00,Married,4878.00,Yes,9.00,30-39,Medium,6+,,,,,,,,
32.00,No,Research & Development,2.00,Single,2837.00,No,6.00,30-39,Low,6+,,,,,,,,
40.00,No,Research & Development,4.00,Married,2406.00,No,1.00,40-49,Low,0-2,,,,,,,,
32.00,No,Sales,2.00,Married,2269.00,No,2.00,30-39,Low,0-2,,,,,,,,
39.00,No,Research & Development,4.00,Single,4108.00,No,7.00,30-39,Medium,6+,,,,,,,,
38.00,No,Research & Development,3.00,Married,13206.00,No,18.00,30-39,High,6+,,,,,,,,
32.00,No,Sales,4.00,Married,10422.00,No,14.00,30-39,High,6+,,,,,,,,
37.00,No,Research & Development,4.00,Married,13744.00,Yes,16.00,30-39,High,6+,,,,,,,,
25.00,No,Sales,3.00,Divorced,4907.00,Yes,5.00,20-29,Medium,3-5,,,,,,,,
52.00,No,Sales,4.00,Divorced,3482.00,No,9.00,50+,Medium,6+,,,,,,,,
44.00,No,Research & Development,4.00,Single,2436.00,Yes,4.00,40-49,Low,3-5,,,,,,,,
21.00,No,Sales,1.00,Single,2380.00,Yes,2.00,20-29,Low,0-2,,,,,,,,
39.00,No,Research & Development,4.00,Single,19431.00,No,6.00,30-39,High,6+,,,,,,,,
23.00,Yes,Sales,1.00,Married,1790.00,No,1.00,20-29,Low,0-2,,,,,,,,
36.00,No,Sales,4.00,Married,7644.00,No,9.00,30-39,High,6+,,,,,,,,
36.00,No,Research & Development,2.00,Divorced,5131.00,No,4.00,30-39,Medium,3-5,,,,,,,,
56.00,No,Research & Development,3.00,Divorced,6306.00,No,13.00,50+,Medium,6+,,,,,,,,
29.00,Yes,Research & Development,4.00,Married,4787.00,Yes,2.00,20-29,Medium,0-2,,,,,,,,
42.00,No,Research & Development,3.00,Married,18880.00,No,22.00,40-49,High,6+,,,,,,,,
56.00,Yes,Research & Development,3.00,Married,2339.00,No,10.00,50+,Low,6+,,,,,,,,
41.00,No,Research & Development,2.00,Married,13570.00,No,20.00,40-49,High,6+,,,,,,,,
34.00,No,Sales,3.00,Married,6712.00,No,8.00,30-39,Medium,6+,,,,,,,,
36.00,No,Sales,4.00,Divorced,5406.00,No,15.00,30-39,Medium,6+,,,,,,,,
41.00,No,Sales,2.00,Divorced,8938.00,No,5.00,40-49,High,3-5,,,,,,,,
32.00,No,Research & Development,1.00,Single,2439.00,No,4.00,30-39,Low,3-5,,,,,,,,
35.00,No,Human Resources,4.00,Single,8837.00,Yes,9.00,30-39,High,6+,,,,,,,,
38.00,No,Sales,4.00,Married,5343.00,No,10.00,30-39,Medium,6+,,,,,,,,
50.00,Yes,Sales,3.00,Divorced,6728.00,No,6.00,50+,Medium,6+,,,,,,,,
36.00,No,Sales,4.00,Married,6652.00,No,6.00,30-39,Medium,6+,,,,,,,,
45.00,No,Sales,3.00,Single,4850.00,No,5.00,40-49,Medium,3-5,,,,,,,,
40.00,No,Research & Development,3.00,Single,2809.00,No,2.00,40-49,Low,0-2,,,,,,,,
35.00,No,Research & Development,3.00,Married,5689.00,Yes,10.00,30-39,Medium,6+,,,,,,,,
40.00,No,Research & Development,3.00,Married,2001.00,No,5.00,40-49,Low,3-5,,,,,,,,
35.00,No,Research & Development,4.00,Married,2977.00,No,4.00,30-39,Low,3-5,,,,,,,,
29.00,No,Research & Development,2.00,Married,4025.00,Yes,4.00,20-29,Medium,3-5,,,,,,,,
29.00,No,Research & Development,1.00,Single,3785.00,No,5.00,20-29,Medium,3-5,,,,,,,,
50.00,Yes,Sales,1.00,Divorced,10854.00,Yes,3.00,50+,High,3-5,,,,,,,,
39.00,No,Sales,4.00,Married,12031.00,No,20.00,30-39,High,6+,,,,,,,,
31.00,No,Research & Development,1.00,Single,9936.00,No,9.00,30-39,High,6+,,,,,,,,
26.00,No,Sales,3.00,Single,2966.00,No,4.00,20-29,Low,3-5,,,,,,,,
36.00,No,Research & Development,4.00,Married,2571.00,No,5.00,30-39,Low,3-5,,,,,,,,
39.00,No,Research & Development,1.00,Married,9991.00,No,7.00,30-39,High,6+,,,,,,,,
27.00,No,Research & Development,2.00,Married,6142.00,Yes,6.00,20-29,Medium,6+,,,,,,,,
49.00,No,Sales,2.00,Married,5390.00,No,9.00,40-49,Medium,6+,,,,,,,,
34.00,No,Research & Development,3.00,Married,4404.00,No,4.00,30-39,Medium,3-5,,,,,,,,
